python_based_indices,frequency,percentage,mapping
409,104,3.9740160489109666,10
944,1444,55.177684371417655,79
1351,2373,90.67634696217043,383
1568,1943,74.2453190676347,539
1735,1453,55.52158960641957,678
1811,2512,95.98777225831104,754
1827,2472,94.45930454719144,769
2243,771,29.46121513183034,1081
2384,1714,65.49484142147497,1220
2394,636,24.30263660680168,1230
2397,405,15.475735575085976,1233
2671,1186,45.31906763469622,1477
3054,191,7.298433320596103,1712
4160,610,23.30913259457394,2568
4203,1285,49.102025219717234,2611
4208,600,22.927015666794038,2616
4357,1141,43.59954145968666,2736
4439,793,30.30187237294612,2776
4451,817,31.218952999617883,2788
4454,1271,48.56706152082537,2791
4491,81,3.095147115017195,2826
4703,947,36.18647306075659,2939
4985,732,27.97095911348873,3210
5092,937,35.80435613297669,3304
5313,792,30.263660680168133,3423
5369,1590,60.7565915170042,3479
5637,1297,49.560565533053115,3742
5659,828,31.639281620175773,3764
5755,1097,41.9182269774551,3859
6453,733,28.009170806266717,4555
6520,876,33.473442873519296,4621
6617,1353,51.70042032862056,4717
7288,1377,52.61750095529232,5344
7620,809,30.913259457393963,5658
8008,503,19.220481467329,5794
8020,857,32.74742071073749,5806
8038,1312,50.133740924722964,5824
8114,909,34.73442873519297,5899
8229,2131,81.42911730989682,6013
8358,939,35.88077951853267,6138
8812,867,33.129537638517384,6558
8963,1486,56.782575468093235,6709
9060,849,32.441727168513566,6804
9088,1180,45.089797478028274,6832
9094,830,31.715705005731753,6838
9145,401,15.322888803974015,6889
9278,819,31.295376385173864,7003
9570,675,25.792892625143296,7197
9603,540,20.634314100114636,7230
9793,895,34.199465036301106,7366
9974,1313,50.171952617500956,7474
10171,861,32.90026748184945,7582
10221,2059,78.67787542988154,7615
10616,1627,62.17042414978984,7936
10769,186,7.107374856706152,8089
10807,2122,81.08521207489491,8122
11134,608,23.23270920901796,8429
11214,1668,63.737103553687426,8506
11531,512,19.564386702330914,8719
12107,1388,53.03782957585021,9214
2298,407,15.552158960641956,1134
2557,354,13.526939243408483,1363
3499,6,0.2292701566679404,2039
3728,86,3.2862055789071456,2142
4100,411,15.705005731753916,2511
4193,577,22.048146732900268,2601
4308,382,14.596866641192205,2707
4380,15,0.573175391669851,2742
4389,821,31.371799770729844,2751
5023,106,4.050439434466947,3244
5513,18,0.6878104700038211,3618
5576,578,22.086358425678256,3681
6241,994,37.98242262132212,4344
6260,811,30.989682842949943,4363
6523,1642,62.74359954145969,4624
6696,1795,68.58998853649217,4793
7128,95,3.6301108139090563,5193
8050,418,15.972487581199847,5836
8368,964,36.83607183798242,6148
8596,329,12.571646923958731,6342
8893,1183,45.20443255636225,6639
9032,456,17.42453190676347,6778
9306,1125,42.98815437523882,7031
9864,1058,40.42797095911349,7411
9935,302,11.539931218952999,7456
10168,436,16.660298051203668,7579
10242,1063,40.61902942300344,7636
11128,931,35.57508597630875,8423
11374,379,14.482231562858235,8587
12106,21,0.8024455483377914,9213
12212,96,3.6683225066870464,9259
1500,98,3.7447458922430266,504
2283,36,1.3756209400076422,1120
2808,13,0.4967520061138708,1528
3274,48,1.8341612533435232,1833
5588,75,2.8658769583492547,3693
5881,725,27.703477264042796,3985
6004,604,23.079862437905998,4108
8126,88,3.3626289644631258,5911
8809,471,17.99770729843332,6555
9469,570,21.780664883454335,7123
9938,380,14.520443255636225,7459
1078,275,10.508215513947269,168
2496,7,0.26748184944593045,1311
4200,250,9.552923194497517,2608
4835,35,1.3374092472296524,3060
5656,1130,43.17921283912877,3761
8059,311,11.88383645395491,5845
2795,144,5.502483760030569,1516
3848,20,0.7642338555598013,2259
5886,53,2.0252197172334734,3990
7386,26,0.9935040122277417,5442
8693,365,13.947267863966374,6439
410,26,0.9935040122277417,11
1824,81,3.095147115017195,766
2171,125,4.776461597248758,1072
2587,170,6.495987772258311,1393
3977,150,5.731753916698509,2388
4269,99,3.7829575850210166,2672
4986,42,1.6048910966755827,3211
5389,47,1.7959495605655331,3499
6677,287,10.966755827283148,4774
7081,810,30.95147115017195,5146
7328,161,6.1520825372564,5384
7927,328,12.533435231180741,5716
8259,792,30.263660680168133,6041
8800,56,2.1398547955674436,6546
8878,9,0.34390523500191056,6624
9055,139,5.311425296140619,6799
9430,28,1.0699273977837218,7084
9561,27,1.0317157050057317,7188
9671,21,0.8024455483377914,7264
9863,4,0.15284677111196027,7410
9867,52,1.9870080244554833,7414
9873,31,1.184562476117692,7420
9882,16,0.6113870844478411,7429
9937,10,0.38211692777990064,7458
9973,10,0.38211692777990064,7473
10830,52,1.9870080244554833,8145
12051,103,3.9358043561329765,9158
12209,776,29.652273595720292,9256
12218,113,4.317921283912877,9265
12252,322,12.3041650745128,9285
13277,20,0.7642338555598013,9610
1531,166,6.343141001146351,515
1869,951,36.33931983186855,811
2149,9,0.34390523500191056,1050
2787,55,2.1016431027894535,"Ins: 1510, pa: 2788"
4580,210,8.024455483377913,2852
5013,70,2.6748184944593048,3234
6003,625,23.88230798624379,4107
6289,65,2.4837600305693543,4392
1728,563,21.513183034008406,671
2758,84,3.2097821933511654,1495
3317,422,16.125334352311807,1876
3703,623,23.80588460068781,2117
4453,632,24.14978983568972,2790
5502,661,25.257928926251434,3607
6274,10,0.38211692777990064,4377
6526,801,30.607565915170042,4627
6674,550,21.016431027894537,4771
6711,721,27.550630492930836,4808
6972,730,27.894535727932748,5038
7902,668,25.525410775697363,5694
8433,286,10.928544134505158,6206
8731,638,24.37905999235766,6477
8795,28,1.0699273977837218,6541
8835,701,26.786396637371034,6581
9275,706,26.977455101260986,7000
9460,624,23.8440962934658,7114
9698,495,18.91478792510508,7291
11352,163,6.2285059228123805,8572
2168,213,8.139090561711884,1069
3095,120,4.585403133358808,1753
3314,160,6.11387084447841,1873
3321,70,2.6748184944593048,1879
3822,34,1.2991975544516623,2233
4286,9,0.34390523500191056,2689
4683,88,3.3626289644631258,2926
5101,219,8.368360718379824,3313
5449,67,2.5601834161253345,3559
5902,84,3.2097821933511654,4006
6337,12,0.4585403133358808,4440
7026,36,1.3756209400076422,5092
7578,43,1.6431027894535728,5616
8035,146,5.578907145586549,5821
8055,65,2.4837600305693543,5841
8504,56,2.1398547955674436,6250
9135,94,3.5918991211310662,6879
9375,9,0.34390523500191056,7063
9802,126,4.814673290026748,7375
9870,11,0.4203286205578907,7417
9977,31,1.184562476117692,7477
10162,34,1.2991975544516623,7573
10332,76,2.904088651127245,7726
11443,68,2.5983951089033246,8644
11446,268,10.240733664501338,8647
11533,19,0.7260221627818112,8721
2520,155,5.92281238058846,1335
2774,6,0.2292701566679404,1500
6212,33,1.2609858616736722,4315
7513,83,3.1715705005731754,5569
2460,387,14.787925105082156,1287
2776,13,0.4967520061138708,1502
2508,498,19.029423003439053,1323
5160,251,9.591134887275507,3372
7422,256,9.782193351165457,5478
9459,777,29.69048528849828,7113
5141,791,30.22544898739014,3353
3260,41,1.5666794038975926,1819
8017,108,4.126862820022927,5803
1731,169,6.457776079480321,674
4191,525,20.061138708444783,2599
8507,344,13.144822315628582,6253
8909,108,4.126862820022927,6655
11205,185,7.069163163928162,8497
5574,111,4.241497898356897,3679
2778,127,4.8528849828047385,1504
6379,33,1.2609858616736722,4482
8938,103,3.9358043561329765,6684
10882,151,5.7699656094764995,8194
2376,4,0.15284677111196027,1212
4808,11,0.4203286205578907,3042
5607,59,2.254489873901414,3712
6992,98,3.7447458922430266,5058
7191,84,3.2097821933511654,5256
7420,77,2.942300343905235,5476
9706,17,0.6495987772258311,7299
10727,124,4.738249904470768,8047
11538,106,4.050439434466947,8726
5691,8,0.30569354222392053,3795
3249,11,0.4203286205578907,1808
4456,185,7.069163163928162,2793
4892,256,9.782193351165457,3117
3250,25,0.9552923194497516,1809
9078,28,1.0699273977837218,6822
2249,32,1.2227741688956821,1087
3244,1,0.03821169277799007,1803
8272,37,1.4138326327856323,6054
3845,4,0.15284677111196027,2256
4569,19,0.7260221627818112,2841
4438,78,2.980512036683225,2775
2261,171,6.534199465036301,1098
2812,74,2.8276652655712646,1531
5409,27,1.0317157050057317,3519
